MOFA_Factor1,MOFA_Factor2,MOFA_Factor3,MOFA_Factor4,MOFA_Factor5,MOFA_Factor6,MOFA_Factor7,MOFA_Factor8,MOFA_Factor9,MOFA_Factor10,MOFA_Factor11,MOFA_Factor12,MOFA_Factor13,MOFA_Factor14,MOFA_Factor15,MOFA_Factor16,MOFA_Factor17,MOFA_Factor18,CT_adrenocortical cancer,CT_bladder urothelial carcinoma,CT_brain lower grade glioma,CT_breast invasive carcinoma,CT_cervical & endocervical cancer,CT_cholangiocarcinoma,CT_colon adenocarcinoma,CT_diffuse large B-cell lymphoma,CT_esophageal carcinoma,CT_glioblastoma multiforme,CT_head & neck squamous cell carcinoma,CT_kidney chromophobe,CT_kidney clear cell carcinoma,CT_kidney papillary cell carcinoma,CT_liver hepatocellular carcinoma,CT_lung adenocarcinoma,CT_lung squamous cell carcinoma,CT_mesothelioma,CT_ovarian serous cystadenocarcinoma,CT_pancreatic adenocarcinoma,CT_pheochromocytoma & paraganglioma,CT_prostate adenocarcinoma,CT_rectum adenocarcinoma,CT_sarcoma,CT_stomach adenocarcinoma,CT_testicular germ cell tumor,CT_thymoma,CT_thyroid carcinoma,CT_uterine carcinosarcoma,CT_uterine corpus endometrioid carcinoma,CT_uveal melanoma,age_at_dx
0.16163763,0.36504877,0.032060146,0.03303101,0.011567257,-0.23254672,0.17407626,-0.17484918,0.23094822,-0.04754132,0.12027578,0.3542068,0.10902481,0.13077576,0.012098814,0.025030773,0.08698227,0.07992596,-0.002068521,-0.01608408,-0.0024025906,0.061685875,0.0069140936,-0.00039293722,0.00086951756,9.5035255e-05,-0.010203509,-0.025867661,-0.0026880295,0.0029676645,-0.0018628419,-6.6810753e-06,-0.00024068097,-0.01235105,-0.0034329705,-0.030067114,-0.00023142435,-0.005472809,0.012754621,0.033726152,0.0023206128,0.026251122,-0.022802241,0.020443976,0.012660278,0.022601122,-0.0039166245,0.008784693,0.003057227,-0.32428434
-0.118449256,-0.013803842,-0.017650705,0.13944952,-0.103483535,-0.3795849,0.039726757,-0.31028867,0.062358882,-0.13759314,-0.389265,0.11821984,-0.27516764,-0.023570897,-0.09871382,0.011346708,-0.12169618,-0.03543546,-0.0009615279,-0.019582186,-0.002000698,0.050234705,0.0008949618,-0.00068785436,0.00090990355,9.488155e-05,-0.009692632,-0.028445167,-0.0015672682,0.0029614486,-0.00038406026,0.003518322,-0.00046033025,-0.009296297,-0.0036684205,-0.02849811,-0.00023142435,-0.0076132338,0.01119431,0.034681827,0.002388058,0.001875507,-0.02184524,0.018205268,0.008561145,0.013006627,-0.0042797485,0.008079431,0.0011756506,-0.031149834
-0.032069772,-0.0017984328,0.010833859,-0.076859124,0.015678039,0.22742821,-0.02352441,0.22374007,-0.017558385,-0.035982016,0.09033278,-0.014672068,0.04852118,-0.09186903,0.10855341,-0.040735126,-0.010131246,0.020610875,-0.0003759944,-0.016314186,-0.0021585268,0.069421366,0.008144028,-0.0004910655,0.002300779,9.5035255e-05,-0.008698381,-0.032755148,-0.0005886345,0.0027606513,-0.00075776764,-0.00022819816,-0.00046172054,-0.00841011,-0.0072633913,-0.016964352,-0.00023142435,-0.007898241,0.011890838,0.041488215,0.002739932,0.0049507055,0.5425759,0.020852821,0.010773669,0.011662841,-0.0038699063,0.012415436,0.0016566655,0.16848138
-0.26204824,0.071131974,-0.057515915,-0.15383324,0.018475428,-0.130781,-0.023926837,-0.39807874,-0.12867633,-0.09345807,0.029221183,-0.18848087,0.048358135,0.12879421,-0.078000166,-0.14508998,-0.1266878,-0.15136941,-0.00033532604,-0.012872056,-0.0012769242,0.034299295,0.0065752473,-0.00047921372,0.0020208063,9.5035255e-05,-0.017843392,-0.025476929,-0.004336248,0.0024561284,-0.0018521803,0.0002845581,-0.0008646941,-0.013928587,-0.0026773333,-0.02810817,-0.00023142435,-0.0040486953,0.009964273,-1.6580468,0.0023430993,-0.0014430927,-0.016721906,0.014622703,0.010236255,0.013875401,-0.0038108553,0.009352169,0.0014937271,-0.40681612
0.02764098,0.120891325,0.057141982,0.10877658,0.13937768,0.094101824,0.05762459,-0.096015744,-0.019759376,-0.034776818,0.20711944,0.1502764,-0.05186477,-0.09350482,-0.11218571,0.0061797556,-0.03288694,-0.13525112,-0.00037712837,-0.01371533,-0.00215899,0.09041742,0.008716047,-0.000478397,0.0014678617,9.848414e-05,-0.014860255,-0.027660865,-0.00072005356,0.0026122092,-0.00069369236,-0.00027096446,-0.0006865668,-0.009391677,0.0024111301,-0.021512698,-0.00023142435,-0.0061505027,0.012284468,0.0403637,0.0028030185,0.0033335797,0.621705,0.02087519,0.011687571,0.015522623,-0.004322444,0.011129237,0.0017611848,-0.19699161
-0.20402072,-0.080636576,-0.109630905,0.05486848,0.17234641,0.27885324,0.059914943,0.40506718,0.0831843,-0.084432065,-0.095686086,-0.052643843,-0.033964474,-0.05339123,-0.021845877,-0.26113766,0.05503796,-0.07537474,-0.00022371758,-0.016228328,0.0002923683,0.040365357,0.004076965,-0.00065008795,0.0025818937,9.848414e-05,0.5728529,-0.03177669,-0.0006329544,0.002819063,-0.00066349277,-0.00013248084,-0.00023666047,-0.017549323,-0.004776105,-0.017701196,-0.00023142435,-0.013865546,0.012654402,0.038669545,0.0017421469,0.0022237184,-0.028761268,0.019229248,0.008869388,0.012044918,-0.0026881872,0.012985417,0.0010508536,0.31736958
0.1469847,0.3633537,-0.35245922,0.083551764,-0.05073613,0.23092547,-0.07830039,-0.046866525,0.050957195,-0.10704589,0.04116614,0.043571986,-0.049039688,-0.05314157,0.15276505,-0.02839976,-0.20508094,-0.043060962,-0.00023849274,-0.026695775,-0.0024940292,0.07952997,0.010154983,-0.00033860057,0.002911486,9.848414e-05,-0.0104022315,-0.024204392,-0.00094465935,0.002353484,-0.00076882285,-4.7127134e-05,-0.0013039898,-0.009561805,-0.0034879565,-0.024345726,-0.00023142435,-0.010888661,0.010294162,0.052425966,0.0027587472,0.0008341585,-0.03147933,0.024052983,0.008555323,0.011309565,-0.0028349382,-0.51178855,0.0016225347,0.14016852
0.05368176,0.029573286,-0.10985192,0.056238305,-0.3538923,-0.39873067,0.015706407,-0.33506367,0.069475606,-0.07587439,-0.32688448,0.14762695,-0.36543387,0.06581462,0.004302321,0.058359206,-0.009746361,-0.055020932,-0.0008264127,-0.01986133,-0.0021976843,0.050944377,0.006061543,-0.0001744412,0.00019711851,8.294699e-05,-0.009806917,-0.030176349,-0.0015647325,0.0029240288,-0.00092039455,0.0034665219,-0.0011494082,-0.009351882,-0.0038178277,-0.028021038,-0.00023142435,-0.007028581,0.011277603,0.034474064,0.0024055413,0.0011340547,-0.022578642,0.019549634,0.0085587,0.021127349,-0.004058665,0.01020799,0.0015514285,-0.2804057
-0.13672225,0.080343835,0.021236157,0.0081003755,0.104420505,0.3391611,0.15636015,0.2524429,0.17877887,0.07466536,0.089521356,0.23994274,0.09294988,0.20431755,0.066143714,0.22130468,0.103318475,0.0530073,-0.0008462438,-0.011619083,0.019895043,0.05607554,0.0056938515,-0.00058706495,0.0010540256,9.6817275e-05,-0.012382575,-0.032800842,-0.0023573178,0.0027938704,-0.00064940227,1.8572406e-05,-0.00027377758,-0.015421054,-0.0011959169,-0.018624948,-0.00017104094,-0.007207763,0.0139322085,0.031276252,0.0022477254,0.00046187593,-0.03126822,0.025920168,0.013320098,0.020343885,-0.0027133196,0.008308703,0.00042817084,-0.31338766
0.18596232,0.12137531,-0.09532595,0.13047934,0.23820777,0.0357545,0.10565531,0.2711126,0.19501874,0.19424075,-0.13212928,0.087844454,-0.06101566,0.13216737,-0.064531475,0.0679005,0.1545456,0.28428075,-0.0006028783,-0.02115606,-0.00035762612,0.055335384,0.008797483,-0.0004910655,2.1708664e-05,9.848414e-05,-0.019219728,-0.03174467,-0.0007427924,0.0028897605,-0.000657183,-0.00011692419,-0.00030856175,-0.01307263,0.0012704713,-0.017563732,-0.00023142435,-0.01297519,0.017053349,0.038353626,0.0010300379,0.011392519,-0.030469915,0.016660446,0.008625401,0.013425018,-0.0032698095,0.010083687,0.0010467669,0.53061295
-0.058297794,0.16934979,0.028178914,-0.0025333175,-0.05844215,-0.20707582,0.045463555,0.22466104,0.03998721,-0.000440347,0.09108297,0.02516166,0.03928533,-0.22243136,0.122380145,-0.04825117,-0.03930582,-0.111841016,-0.0003838745,-0.010102259,-0.00051777676,0.04074591,0.006412736,-0.00045099988,0.0028567063,9.5035255e-05,-0.013498739,-0.025009468,-0.0014486497,0.0023541618,5.0243354e-05,-0.000111665526,-0.00046172054,-0.021498967,-0.004607702,-0.016686989,-0.00023142435,-0.0111353705,0.01521908,0.037800852,0.0014325894,0.00057352474,0.43031853,0.015657116,0.0097661605,0.011695825,-0.00383332,0.015335577,0.008528254,0.6093128
0.15268818,-0.066483475,-0.033766497,-0.100623995,-0.00817298,0.07524906,0.03726996,-0.5087585,0.052825652,-0.08914705,0.004853261,-0.022971895,0.021443747,0.03084321,0.090562604,0.10713433,0.07571913,0.023692662,-7.481827e-05,-0.005183159,-0.0011911839,0.03997,0.00363181,-0.00019364494,0.00094013684,9.5938594e-05,-0.014940227,-0.02354086,-0.0005303354,0.002752623,-0.00071486615,-0.00030584927,-0.000912923,-0.009240249,-8.207877e-06,-0.021683987,-0.00011180775,-0.0078123612,0.010215828,-1.9744823,0.0027720951,0.0023160316,-0.030901283,0.018538173,0.010067591,0.008257228,-0.0030670736,0.008994643,0.0013228665,0.08781986
0.00079164794,-0.03467924,0.17995343,0.00900174,0.08948439,0.18804905,0.08736654,-0.22556244,-0.032121073,0.06875874,0.15723819,0.091429465,0.07375814,0.10680974,0.25171182,0.09667407,0.10008128,0.25793812,-0.00023017135,-0.019536462,-0.0011577257,-0.6532326,0.0035327158,-0.00050036167,0.00096802367,9.4881965e-05,-0.007826116,-0.030914592,0.00023755239,0.0029048945,-0.0006984022,-0.0003887922,8.6196684e-05,-0.02030104,-0.0056383978,-0.025795069,-0.00023142435,-0.007552055,0.01092497,0.031345088,0.0028392428,0.005476649,-0.02522048,0.024728421,0.0098734,0.016606225,-0.0037917313,0.006496618,0.00091120374,-0.24887764
0.050676685,-0.1705887,0.030617552,-0.2163887,-0.004156374,-0.13797407,0.027807418,0.23777309,0.009189688,0.05125642,-0.033516284,-0.0068466356,0.06622645,0.17082205,0.04106276,0.117975906,0.0450662,0.13053474,-7.999391e-05,-0.010299996,-0.0006076694,0.03152423,0.0055330065,-0.00019451196,0.0008736787,9.5938594e-05,-0.009575047,-0.03493791,-0.009853248,0.003219296,-0.0012728388,-0.0005534678,-8.3626524e-05,-0.017872693,-0.009016406,-0.022519244,-0.00023142435,-0.0120182205,0.018751666,0.032019485,0.002822226,0.003629029,-0.026654625,0.019384902,0.01381677,0.020769322,-0.003484815,0.0058778184,0.00068265846,-0.368686
